market_cap,circulating_market_cap,anon_1,anon_2,net_profit_to_total_revenue,inc_revenue_year_on_year,development_expenditure,pe_ratio,pb_ratio,inc_net_profit_year_on_year,dividend_payable,roe,roa,anon_3,gross_profit_margin,anon_4,pcf_ratio,ps_ratio,monthreturn
16180.8438,12240.3945,1613636829184.0,1.07756505,42.82,5.6,0.0,5.8471,1.0315,0.07,0.0,4.65,0.34,0.99284245,0.0,0.00803121,3.1939,2.3563,0.9889867795398902
1937.1824,1652.1299,208456122368.0,1.07466514,33.92,19.23,0.0,6.6163,1.0306,2.64,0.0,3.99,0.27,0.9989495,0.0,0.00424586,8.7846,2.2367,0.9759036113481107
13775.6045,528.6105,1312450150400.0,1.07762883,43.8,6.39,0.0,6.0139,1.0585,0.1,0.0,4.98,0.36,0.99251723,0.0,0.00817704,22.5349,2.3175,0.9854809420523071
11510.5625,8240.9316,1267149570048.0,1.08429992,39.97,2.82,0.0,6.7464,1.0274,2.18,0.0,3.67,0.29,0.99575964,0.0,0.01043722,-5.5455,2.497,0.9948849589235973
2872.7419,1958.9771,291081814016.0,1.06816593,32.05,14.67,0.0,6.9652,1.0151,3.29,0.0,4.21,0.26,0.99883744,0.0,0.00323331,-3.1429,2.1657,1.0244299705448652
1808.6167,1492.0325,150880124928.0,1.06235675,22.99,39.02,0.0,8.4852,1.1987,18.69,0.0,4.14,0.24,0.99974433,0.0,0.00143551,1.1594,2.1216,0.8362341783087595
528.0321,467.1489,35949641728.0,1.06279034,39.99,24.7,0.0,8.9848,1.5347,17.2,0.0,5.01,0.3,1.00079584,0.0,0.00556062,6.2329,3.2537,0.8338258223316348
2889.4226,2311.5381,288723828736.0,1.07278858,34.28,19.52,0.0,6.0817,1.1967,4.64,12000000.0,4.1,0.27,0.99269973,0.0,0.00365753,-63.3229,2.2474,0.9980633154873227
1169.0016,851.7035,111797993472.0,1.06192306,33.37,9.47,0.0,6.2938,1.0521,3.95,0.0,4.74,0.28,0.99752757,0.0,0.00528992,1.0449,2.0568,0.968007314960048
3305.5725,2677.3904,261778046976.0,1.06971492,37.65,15.37,0.0,7.3056,1.3219,4.93,0.0,5.41,0.34,0.99765136,0.0,0.00850163,12.347999999999999,2.3566,0.9977924852654116
4474.0005,3659.5747,332114952192.0,1.07256442,34.1,24.16,0.0,7.6891,1.4229,15.61,0.0,5.33,0.36,0.99581431,0.0,0.00580471,6.1849,2.5458,1.015219868661168
587.0226,517.7819,44331171840.0,1.0645314,30.95,46.02,0.0,9.3036,1.3880000000000001,24.05,0.0,4.6,0.26,0.99815913,0.0,0.00577805,60.3378,3.0143,0.8520642987169489
2983.5959,2533.728,276360855552.0,1.0652306,43.56,19.6,0.0,6.1435,1.1973,10.81,0.0,5.57,0.33,0.99593919,0.0,0.00230887,-3.8006,2.2862,0.936781619789731
1125.2939,1125.2939,100499980288.0,1.07040969,47.05,20.31,0.0,6.9951,1.1529,10.45,0.0,5.08,0.33,1.00286394,0.0,0.00390088,1.3959,2.9098,0.9853604467241847
11140.4385,10086.0967,1125519458304.0,1.0716389,38.95,2.46,0.0,6.1841,1.1314,1.49,0.0,5.02,0.33,0.98340455,0.0,0.00905044,11.144,2.1252,0.9212827753593361
5035.0127,2217.6738,492839108608.0,1.08034023,38.56,10.46,0.0,7.6138,1.0716,1.57,0.0,3.95,0.3,0.99435213,0.0,0.00875432,4.4351,2.7653,0.9469026761342628
17000.5781,12860.5029,1621259976704.0,1.08198378,41.1,11.39,0.0,6.1411,1.1441,1.36,0.0,4.73,0.35,0.99350637,0.0,0.00792746,6.5965,2.5096,0.9517819749906035
2119.231,1807.3903,188068921344.0,1.07016256,37.6,24.1,0.0,7.2891,1.1848,2.35,0.0,4.56,0.3,0.99963701,0.0,0.00450019,5.625,2.5578,0.9140968587190352
14975.6572,574.6601,1316262772736.0,1.08145373,41.34,10.19,0.0,6.537999999999999,1.2169,1.83,0.0,5.26,0.39,0.99259917,0.0,0.00849776,-11.9893,2.5578,0.9198664416543936
12864.7461,9210.4531,1272041177088.0,1.08625667,39.34,1.17,0.0,7.5644,1.199,1.21,0.0,3.87,0.31,0.9962856,0.0,0.01053448,-8.5474,2.8105,0.8947368576516251
3555.8369,2424.7925,278749249536.0,1.06714477,33.64,10.71,0.0,8.691,1.3130000000000002,1.52,0.0,4.12,0.26,1.0005466,0.0,0.00331293,125.4706,2.78,0.8078947321796452
1943.1182,1602.9906,136704032768.0,1.0630533000000002,27.23,28.39,0.0,9.5358,1.3433,11.38,0.0,4.21,0.25,1.00134461,0.0,0.00160406,-3.7376,2.4919,0.9307805876142791
615.3875,544.432,35949641728.0,1.06279034,39.99,24.7,0.0,10.4712,1.7886,17.2,0.0,5.01,0.3,1.00079584,0.0,0.00556062,7.2641,3.792,0.8580481403993419
3184.1477,2547.3181,288723828736.0,1.07278858,34.28,19.52,0.0,6.7021,1.3187,4.64,12000000.0,4.1,0.27,0.99269973,0.0,0.00365753,-69.7819,2.4766,0.9074398778674745
1409.4270000000001,1026.8711,106008936448.0,1.06181009,32.28,5.01,0.0,7.662000000000001,1.3889,11.42,0.0,4.0,0.23,0.99765349,0.0,0.00522162,35.7723,2.5396,0.8294162095660151
3666.7776,2969.9529,261778046976.0,1.06971492,37.65,15.37,0.0,8.1039,1.4663,4.93,0.0,5.41,0.34,0.99765136,0.0,0.00850163,13.6973,2.6141,0.9014924984815006
4660.6274,3812.2290000000003,332114952192.0,1.07256442,34.1,24.16,0.0,8.0099,1.4823,15.61,0.0,5.33,0.36,0.99581431,0.0,0.00580471,6.4429,2.6519999999999997,0.959956700250271
595.7741,525.5012,34298593280.0,1.05461585,35.35,47.86,0.0,9.9924,1.423,25.05,0.0,5.34,0.29,0.99108322,0.0,0.00623985,5.7228,3.3792,0.9853107075315963
3294.1489,2797.4558,276360855552.0,1.0652306,43.56,19.6,0.0,6.7829999999999995,1.3219,10.81,0.0,5.57,0.33,0.99593919,0.0,0.00230887,-4.1962,2.5242,0.9057258765686031
1365.4327,1365.4327,100499980288.0,1.07040969,47.05,20.31,0.0,8.4878,1.3989,10.45,0.0,5.08,0.33,1.00286394,0.0,0.00390088,1.6938,3.5308,0.8241298893749943
12342.1768,11174.1016,1125519458304.0,1.0716389,38.95,2.46,0.0,6.8512,1.2534,1.49,0.0,5.02,0.33,0.98340455,0.0,0.00905044,12.3461,2.3545,0.9026315763034606
6037.5596,2659.2461,492839108608.0,1.08034023,38.56,10.46,0.0,9.1298,1.285,1.57,0.0,3.95,0.3,0.99435213,0.0,0.00875432,5.3182,3.3159,0.8339483224314673
18782.6094,14208.5635,1621259976704.0,1.08198378,41.1,11.39,0.0,6.7848,1.2641,1.36,0.0,4.73,0.35,0.99350637,0.0,0.00792746,7.2879,2.7727,0.9051233371226896
2576.686,2197.5317,188068921344.0,1.07016256,37.6,24.1,0.0,8.8625,1.4406,2.35,0.0,4.56,0.3,0.99963701,0.0,0.00450019,6.8392,3.1099,0.8224638159247964
16900.7422,648.5313,1316262772736.0,1.08145373,41.34,10.19,0.0,7.3785,1.3734,1.83,0.0,5.26,0.39,0.99259917,0.0,0.00849776,-13.5304,2.8866,0.8860946473699834
15808.624,11318.1084,1272041177088.0,1.08625667,39.34,1.17,0.0,9.2954,1.4734,1.21,0.0,3.87,0.31,0.9962856,0.0,0.01053448,-10.5033,3.4537,0.8137802569028146
4809.7373,3279.8508,278749249536.0,1.06714477,33.64,10.71,0.0,11.7557,1.776,1.52,0.0,4.12,0.26,1.0005466,0.0,0.00331293,169.7155,3.7603,0.7392996079016623
2277.9412,1879.2054,136704032768.0,1.0630533000000002,27.23,28.39,0.0,11.179,1.5747,11.38,0.0,4.21,0.25,1.00134461,0.0,0.00160406,-4.3817,2.9213,0.8530150822154671
695.7883,615.0058,35949641728.0,1.06279034,39.99,24.7,0.0,11.8392,2.0223,17.2,0.0,5.01,0.3,1.00079584,0.0,0.00556062,8.2131,4.2874,0.8844464616608242
3437.8347,2750.2678,288723828736.0,1.07278858,34.28,19.52,0.0,7.236000000000001,1.4238,4.64,12000000.0,4.1,0.27,0.99269973,0.0,0.00365753,-75.3415,2.6739,0.9262073304455273
1470.1566,1071.1171,106008936448.0,1.06181009,32.28,5.01,0.0,7.9922,1.4488,11.42,0.0,4.0,0.23,0.99765349,0.0,0.00522162,37.3136,2.6489999999999996,0.9586917475322018
3590.6138,2863.9746,261778046976.0,1.06971492,37.65,15.37,0.0,7.9356,1.4132,4.93,0.0,5.41,0.34,0.99765136,0.0,0.00850163,13.4128,2.5598,1.0212119164695461
4917.8701,4022.6443,332114952192.0,1.07256442,34.1,24.16,0.0,8.452,1.4843,15.61,0.0,5.33,0.36,0.99581431,0.0,0.00580471,6.7986,2.7984,0.9476922540105319
606.2562,606.2562,34298593280.0,1.05461585,35.35,47.86,0.0,10.1682,1.7859,25.05,0.0,5.34,0.29,0.99108322,0.0,0.00623985,5.8235,3.4387,0.9827101149645974
