,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
487,601888.SH,20210617,289.7,293.94,283.68,286.0,289.7,-3.7,-1.2772,120224.46,3449965.534
488,601888.SH,20210616,300.5,301.0,288.2,289.7,297.68,-7.98,-2.6807,105929.77,3110465.033
489,601888.SH,20210615,310.69,310.69,295.5,297.68,311.0,-13.32,-4.283,130587.15,3913995.665
490,601888.SH,20210611,314.55,317.0,305.38,311.0,313.46,-2.46,-0.7848,92804.11,2875240.466
491,601888.SH,20210610,311.02,317.37,310.7,313.46,312.8,0.66,0.211,76099.06,2396773.127
492,601888.SH,20210609,314.3,319.0,310.96,312.8,317.38,-4.58,-1.4431,71216.52,2232948.852
493,601888.SH,20210608,316.74,324.58,314.47,317.38,317.0,0.38,0.1199,79786.89,2542852.738
494,601888.SH,20210607,319.92,319.92,310.63,317.0,319.56,-2.56,-0.8011,77896.63,2447473.55
495,601888.SH,20210604,322.01,325.0,317.0,319.56,325.84,-6.28,-1.9273,98451.21,3148155.234
496,601888.SH,20210603,327.99,331.85,322.02,325.84,325.3,0.54,0.166,62519.16,2049074.942
497,601888.SH,20210602,336.0,337.4,324.0,325.3,334.12,-8.82,-2.6398,71990.74,2359810.455
498,601888.SH,20210601,331.99,337.31,328.65,334.12,334.5,-0.38,-0.1136,84086.58,2805332.626
499,601888.SH,20210531,342.99,343.99,329.6,334.5,344.29,-9.79,-2.8435,112209.41,3735633.093
500,601888.SH,20210528,342.0,349.28,339.0,344.29,344.54,-0.25,-0.0726,68299.05,2357981.402
501,601888.SH,20210527,339.98,348.3,337.0,344.54,339.99,4.55,1.3383,84332.42,2896663.233
502,601888.SH,20210526,342.0,348.7,334.9,339.99,339.28,0.71,0.2093,90243.51,3074087.078
503,601888.SH,20210525,322.82,339.52,320.01,339.28,320.29,18.99,5.929,129888.39,4331541.435
504,601888.SH,20210524,318.0,323.0,313.5,320.29,318.0,2.29,0.7201,55125.83,1756716.299
505,601888.SH,20210521,328.54,330.1,314.02,318.0,325.01,-7.01,-2.1569,71742.91,2294108.74
